model,seed,subset,n_cases,Recall@20,NDCG@20,MRR@20,Coverage@20
MetadataComiRecSA,44,div_homogeneous,184229,0.090962877722834,0.0359157570616653,0.0209593939217381,0.4472
MetadataComiRecSA,44,div_medium,189812,0.0795155206204033,0.0318796949195911,0.01890825296866,0.4423
MetadataComiRecSA,44,len_long,187368,0.0730594338414243,0.0288423653571704,0.0168019800476368,0.43695
MetadataComiRecSA,44,len_medium,182053,0.0812565571564324,0.0324262816635185,0.0191449897568862,0.4343
MetadataComiRecSA,44,len_short,188849,0.0856557355347393,0.0346392086143616,0.020777558302959,0.42985
MetadataComiRecSA,44,target_pop_head,299382,0.1298608466774889,0.0529679652695709,0.031961695921892,0.4664
MetadataComiRecSA,44,target_pop_mid,213442,0.0254823324369149,0.0088049769440918,0.0043877756317471,0.46625
MetadataComiRecSA,44,target_pop_tail,45446,0.0075034106412005,0.0024647011466117,0.0011460914239382,0.39565
MetadataComiRecSA+LabelAware+DivReg,42,all,558270,0.025844125602307127,0.009860097361886023,0.0055444115785158055,0.1728
MetadataComiRecSA+LabelAware+DivReg,42,len_short,188849,0.026751531646977213,0.010208274719824873,0.005743251698710987,0.1597
MetadataComiRecSA+LabelAware+DivReg,42,len_medium,182053,0.02705805452258408,0.01047897867569484,0.005994250698539046,0.1592
MetadataComiRecSA+LabelAware+DivReg,42,len_long,187368,0.02375005337090645,0.008907842197224868,0.004906921082933145,0.1613
MetadataComiRecSA+LabelAware+DivReg,42,div_homogeneous,184229,0.03521703966259384,0.013531119157300448,0.007663643657503104,0.1638
MetadataComiRecSA+LabelAware+DivReg,42,div_medium,189812,0.024466314037047184,0.00929817447713935,0.005203295859580889,0.15865
MetadataComiRecSA+LabelAware+DivReg,42,div_heterogeneous,184229,0.01789077723919687,0.006768027341705322,0.0037766326195176115,0.1555
MetadataComiRecSA+LabelAware+DivReg,42,target_pop_head,299382,0.04058360222057438,0.015603536095026951,0.008844655295200229,0.16365
MetadataComiRecSA+LabelAware+DivReg,42,target_pop_mid,213442,0.009838738392631254,0.003545561242870701,0.0018663216092743061,0.16545
MetadataComiRecSA+LabelAware+DivReg,42,target_pop_tail,45446,0.003916736346433129,0.001681270699686282,0.0010781288435430137,0.14915
MetadataComiRecSA+LabelAware+DivReg,43,all,558270,0.032208429612911316,0.01237839614603195,0.007023321221988492,0.23355
MetadataComiRecSA+LabelAware+DivReg,43,len_short,188849,0.0334447097945978,0.013161428093881832,0.007676554159650914,0.20995
MetadataComiRecSA+LabelAware+DivReg,43,len_medium,182053,0.03401756631310662,0.013031996340584887,0.00737548995521502,0.20545
MetadataComiRecSA+LabelAware+DivReg,43,len_long,187368,0.029204560010247214,0.010954115177358286,0.006022746089443446,0.2013
MetadataComiRecSA+LabelAware+DivReg,43,div_homogeneous,184229,0.04193693718144266,0.01616532122929004,0.009195374920735497,0.2132
MetadataComiRecSA+LabelAware+DivReg,43,div_medium,189812,0.029534486755315788,0.011272176260631631,0.006347375959025752,0.2038
MetadataComiRecSA+LabelAware+DivReg,43,div_heterogeneous,184229,0.025234897871670586,0.009731214582456463,0.005547697087824062,0.19775
MetadataComiRecSA+LabelAware+DivReg,43,target_pop_head,299382,0.05399122191714933,0.02109772414958052,0.012182263435312982,0.2115
