model,seed,subset,n_cases,Recall@20,NDCG@20,MRR@20,Coverage@20
SASRec+SSL,43,len_medium,171636,0.21311379896991306,0.0919169199168704,0.05849587474977043,0.9411
SASRec+SSL,43,len_long,174559,0.20253324090995023,0.08840778839451109,0.05690178045097626,0.9427
SASRec+SSL,43,div_homogeneous,174457,0.21265985314432784,0.09237040306395049,0.0591574924614555,0.9528
SASRec+SSL,43,div_medium,174988,0.20696847783848035,0.0898636213003601,0.057545922950499165,0.9417
SASRec+SSL,43,div_heterogeneous,177967,0.22256935274517187,0.09555441770785315,0.06051572745499252,0.9352
SASRec+SSL,43,target_pop_head,247065,0.279740149353409,0.12668733507491653,0.08407739311855572,0.948
SASRec+SSL,43,target_pop_mid,231205,0.1604247312990636,0.0639748291548493,0.03767980008632963,0.9568
SASRec+SSL,43,target_pop_tail,49142,0.13678726954539905,0.056040556196681995,0.03410011366645505,0.915
SASRec+SSL,43,target_in_last1,2234,0.0,0.0,0.0,0.6343
SASRec+SSL,43,target_in_last3,3788,0.0,0.0,0.0,0.7134
SASRec+SSL,43,target_old_repeat,10183,0.0,0.0,0.0,0.823
SASRec+SSL,43,target_unseen,513441,0.21994153174366676,0.09513313472755097,0.06068873949605261,0.9664
SASRec+SSL,43,hard_continuation,523624,0.21566429346248453,0.09328306538212248,0.05950851583501279,0.9667
MINDStyleSASRec,42,all,527412,0.021049957149249544,0.008166469498051063,0.004662797483571478,0.0055
MINDStyleSASRec,42,len_short,181217,0.018022591699454246,0.006705115141629197,0.003646974028281715,0.0033
MINDStyleSASRec,42,len_medium,171636,0.02179612668670908,0.008563203119588723,0.004966648577792503,0.0041
MINDStyleSASRec,42,len_long,174559,0.023459116974776435,0.00929347229104062,0.005418603215097926,0.0055
MINDStyleSASRec,42,div_homogeneous,174457,0.020234212442034428,0.008045546078228688,0.004706052533197472,0.0055
MINDStyleSASRec,42,div_medium,174988,0.024184515509634946,0.009415990914200596,0.005408324642109695,0.0042
MINDStyleSASRec,42,div_heterogeneous,177967,0.018767524316305833,0.007056402370340745,0.0038873478068848595,0.0033
MINDStyleSASRec,42,target_pop_head,247065,0.044935543278084716,0.017433039932431168,0.009953718035356688,0.0053
MINDStyleSASRec,42,target_pop_mid,231205,0.0,0.0,0.0,0.0054
MINDStyleSASRec,42,target_pop_tail,49142,0.0,0.0,0.0,0.0049
MINDStyleSASRec,42,target_in_last1,2234,0.0,0.0,0.0,0.0037
MINDStyleSASRec,42,target_in_last3,3788,0.0,0.0,0.0,0.0037
MINDStyleSASRec,42,target_old_repeat,10183,0.0,0.0,0.0,0.0047
MINDStyleSASRec,42,target_unseen,513441,0.021622737568678777,0.008388683433746246,0.004789674658637315,0.0055
MINDStyleSASRec,42,hard_continuation,523624,0.021202236719478098,0.00822554736014031,0.004696529086530411,0.0055
MINDStyleSASRec,43,all,527412,0.020869832313257945,0.008154506313392255,0.004683370021394572,0.006
MINDStyleSASRec,43,len_short,181217,0.018143993113228892,0.006788105160642315,0.0037070978731607077,0.0033
MINDStyleSASRec,43,len_medium,171636,0.02152229136078678,0.008534960940328197,0.004984974234805777,0.0042
MINDStyleSASRec,43,len_long,174559,0.02305810642819906,0.009198940615542876,0.005400325143235614,0.006
MINDStyleSASRec,43,div_homogeneous,174457,0.020474959445594042,0.008115323467458586,0.004736787516809502,0.006
MINDStyleSASRec,43,div_medium,174988,0.02328159645232816,0.009222217674872482,0.005374344913333469,0.0044
MINDStyleSASRec,43,div_heterogeneous,177967,0.01888552372068979,0.007143077486870208,0.003951597443398616,0.0033
MINDStyleSASRec,43,target_pop_head,247065,0.044551029081415824,0.017407502008616512,0.009997634427068807,0.0058
MINDStyleSASRec,43,target_pop_mid,231205,0.0,0.0,0.0,0.0058
MINDStyleSASRec,43,target_pop_tail,49142,0.0,0.0,0.0,0.0052
MINDStyleSASRec,43,target_in_last1,2234,0.0,0.0,0.0,0.0037
MINDStyleSASRec,43,target_in_last3,3788,0.0,0.0,0.0,0.0037
MINDStyleSASRec,43,target_old_repeat,10183,0.0,0.0,0.0,0.0049
MINDStyleSASRec,43,target_unseen,513441,0.021437711441041913,0.008376394724532788,0.004810806986048551,0.006
MINDStyleSASRec,43,hard_continuation,523624,0.021020808824652803,0.008213497631427967,0.00471725045017752,0.006
ComiRecSAStyleSASRec,42,all,527412,0.23877537864136578,0.10851524306108777,0.07229770489294464,0.9898
ComiRecSAStyleSASRec,42,len_short,181217,0.25053940855438506,0.11219415341832921,0.07374956555730769,0.9735
ComiRecSAStyleSASRec,42,len_medium,171636,0.23752592696170965,0.10788559520003586,0.07184474320867892,0.9768
ComiRecSAStyleSASRec,42,len_long,174559,0.2277911766222309,0.10531511669734421,0.07123584441956173,0.98
ComiRecSAStyleSASRec,42,div_homogeneous,174457,0.23792109230354758,0.109574086111209,0.07384944280994304,0.9829
ComiRecSAStyleSASRec,42,div_medium,174988,0.23132443367545202,0.10569990255029318,0.0707712653909199,0.9783
ComiRecSAStyleSASRec,42,div_heterogeneous,177967,0.24693903926008753,0.11024549767743756,0.07227745986883632,0.9728
ComiRecSAStyleSASRec,42,target_pop_head,247065,0.28733329285815473,0.1348507218087064,0.09216893973362514,0.9813
ComiRecSAStyleSASRec,42,target_pop_mid,231205,0.1999307973443481,0.0866438970602696,0.05540874254831696,0.9838
ComiRecSAStyleSASRec,42,target_pop_tail,49142,0.17740425705099508,0.07901277053939042,0.051853398657482425,0.9612
ComiRecSAStyleSASRec,42,target_in_last1,2234,0.0,0.0,0.0,0.7068
ComiRecSAStyleSASRec,42,target_in_last3,3788,0.0,0.0,0.0,0.7914
ComiRecSAStyleSASRec,42,target_old_repeat,10183,0.0,0.0,0.0,0.892
ComiRecSAStyleSASRec,42,target_unseen,513441,0.2452725824388781,0.11146799997143668,0.07426496351673847,0.9896
ComiRecSAStyleSASRec,42,hard_continuation,523624,0.24050272714772433,0.10930026387891772,0.0728207208473976,0.9898
ComiRecSAStyleSASRec,43,all,527412,0.23707082887761372,0.10683110569523006,0.07067595788101877,0.9908
ComiRecSAStyleSASRec,43,len_short,181217,0.24927021195583196,0.11103276540567773,0.07266412021843315,0.9712
ComiRecSAStyleSASRec,43,len_medium,171636,0.23649467477685335,0.10660061275678497,0.07057281039819695,0.9784
ComiRecSAStyleSASRec,43,len_long,174559,0.22497264535200132,0.10269582030882651,0.06871338366291717,0.9793
ComiRecSAStyleSASRec,43,div_homogeneous,174457,0.2359377955599374,0.10733840998586622,0.07158070358939063,0.9836
ComiRecSAStyleSASRec,43,div_medium,174988,0.22991862299129084,0.10403301857290449,0.06911877890311613,0.978
ComiRecSAStyleSASRec,43,div_heterogeneous,177967,0.2452140003483792,0.10908505662281781,0.07132016952104088,0.9703
ComiRecSAStyleSASRec,43,target_pop_head,247065,0.28946633477020217,0.13496150292683162,0.0917708014670722,0.9823
ComiRecSAStyleSASRec,43,target_pop_mid,231205,0.1950822862827361,0.08360268001658881,0.05291946027875647,0.9862
ComiRecSAStyleSASRec,43,target_pop_tail,49142,0.17119775344918806,0.07468938511008152,0.048161479380810696,0.9586
ComiRecSAStyleSASRec,43,target_in_last1,2234,0.0,0.0,0.0,0.6995
ComiRecSAStyleSASRec,43,target_in_last3,3788,0.0,0.0,0.0,0.7862
ComiRecSAStyleSASRec,43,target_old_repeat,10183,0.0,0.0,0.0,0.8899
ComiRecSAStyleSASRec,43,target_unseen,513441,0.24352165097839867,0.10973803634094803,0.07259908791456836,0.9908
ComiRecSAStyleSASRec,43,hard_continuation,523624,0.23878584633248284,0.1076039431289106,0.07118724179553246,0.9908
